"Time","Length","Sequence Number","Acknowledgment Number","Info"
"0.000070436","74","0","1","19  >  57254 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2972591795 TSecr=1160796663 WS=128"
"0.004956108","140","1","1","19  >  57254 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=74 TSval=2972591800 TSecr=1160796664[Packet size limited during capture]"
"0.005010442","1514","75","1","19  >  57254 [ACK] Seq=75 Ack=1 Win=65280 Len=1448 TSval=2972591800 TSecr=1160796664"
"0.005032675","1514","1523","1","19  >  57254 [ACK] Seq=1523 Ack=1 Win=65280 Len=1448 TSval=2972591800 TSecr=1160796664"
"0.005064917","4410","2971","1","19  >  57254 [PSH, ACK] Seq=2971 Ack=1 Win=65280 Len=4344 TSval=2972591800 TSecr=1160796664"
"0.005098722","2962","7315","1","19  >  57254 [PSH, ACK] Seq=7315 Ack=1 Win=65280 Len=2896 TSval=2972591800 TSecr=1160796664"
"0.005123239","2962","10211","1","19  >  57254 [PSH, ACK] Seq=10211 Ack=1 Win=65280 Len=2896 TSval=2972591800 TSecr=1160796664"
"0.005547547","11650","13107","1","19  >  57254 [PSH, ACK] Seq=13107 Ack=1 Win=65280 Len=11584 TSval=2972591800 TSecr=1160796669"
"0.005558137","14546","24691","1","19  >  57254 [PSH, ACK] Seq=24691 Ack=1 Win=65280 Len=14480 TSval=2972591800 TSecr=1160796669"
"0.005560582","2962","39171","1","19  >  57254 [PSH, ACK] Seq=39171 Ack=1 Win=65280 Len=2896 TSval=2972591800 TSecr=1160796669"
"0.005806485","2962","42067","1","19  >  57254 [PSH, ACK] Seq=42067 Ack=1 Win=65280 Len=2896 TSval=2972591801 TSecr=1160796669"
"0.005816395","27578","44963","1","19  >  57254 [PSH, ACK] Seq=44963 Ack=1 Win=65280 Len=27512 TSval=2972591801 TSecr=1160796669"
"0.005817948","4410","72475","1","19  >  57254 [PSH, ACK] Seq=72475 Ack=1 Win=65280 Len=4344 TSval=2972591801 TSecr=1160796669"
"0.005819951","3250","76819","1","19  >  57254 [PSH, ACK] Seq=76819 Ack=1 Win=65280 Len=3184 TSval=2972591801 TSecr=1160796669"
"0.005952587","1514","80003","1","19  >  57254 [ACK] Seq=80003 Ack=1 Win=65280 Len=1448 TSval=2972591801 TSecr=1160796669"
"0.006463515","14274","81451","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=81451 Ack=1 Win=65280 Len=14208 TSval=2972591801 TSecr=1160796670"
"0.007144010","6082","95659","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=95659 Ack=1 Win=65280 Len=6016 TSval=2972591802 TSecr=1160796670"
