"Time","Length","Sequence Number","Acknowledgment Number","Info"
"15.000836331","19906","35212827","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=35212827 Ack=1 Win=65280 Len=19840 TSval=2972606796 TSecr=1160811668"
"15.043925727","25114","35232667","1","19  >  57254 [PSH, ACK] Seq=35232667 Ack=1 Win=65280 Len=25048 TSval=2972606839 TSecr=1160811711"
"15.043951236","65226","35257715","1","19  >  57254 [PSH, ACK] Seq=35257715 Ack=1 Win=65280 Len=65160 TSval=2972606839 TSecr=1160811711"
"15.043957107","59434","35322875","1","19  >  57254 [PSH, ACK] Seq=35322875 Ack=1 Win=65280 Len=59368 TSval=2972606839 TSecr=1160811711"
"15.045216661","5858","35382243","1","19  >  57254 [PSH, ACK] Seq=35382243 Ack=1 Win=65280 Len=5792 TSval=2972606840 TSecr=1160811712"
"15.045243623","65226","35388035","1","19  >  57254 [PSH, ACK] Seq=35388035 Ack=1 Win=65280 Len=65160 TSval=2972606840 TSecr=1160811712"
"15.048371489","34242","35453195","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=35453195 Ack=1 Win=65280 Len=34176 TSval=2972606843 TSecr=1160811715"
"15.092433110","31050","35487371","1","19  >  57254 [PSH, ACK] Seq=35487371 Ack=1 Win=65280 Len=30984 TSval=2972606887 TSecr=1160811759"
"15.092462406","65226","35518355","1","19  >  57254 [PSH, ACK] Seq=35518355 Ack=1 Win=65280 Len=65160 TSval=2972606887 TSecr=1160811759[Packet size limited during capture]"
"15.092467787","56538","35583515","1","19  >  57254 [PSH, ACK] Seq=35583515 Ack=1 Win=65280 Len=56472 TSval=2972606887 TSecr=1160811759"
"15.092997345","8754","35639987","1","19  >  57254 [PSH, ACK] Seq=35639987 Ack=1 Win=65280 Len=8688 TSval=2972606888 TSecr=1160811760"
"15.093016823","65226","35648675","1","19  >  57254 [PSH, ACK] Seq=35648675 Ack=1 Win=65280 Len=65160 TSval=2972606888 TSecr=1160811760"
"15.093477241","36290","35713835","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=35713835 Ack=1 Win=65280 Len=36224 TSval=2972606888 TSecr=1160811761"
"15.093997662","17858","35750059","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=35750059 Ack=1 Win=65280 Len=17792 TSval=2972606889 TSecr=1160811761"
"15.155431894","11210","35767851","1","19  >  57254 [PSH, ACK] Seq=35767851 Ack=1 Win=65280 Len=11144 TSval=2972606950 TSecr=1160811822"
"15.155464006","65226","35778995","1","19  >  57254 [PSH, ACK] Seq=35778995 Ack=1 Win=65280 Len=65160 TSval=2972606950 TSecr=1160811822"
"15.155467122","65226","35844155","1","19  >  57254 [PSH, ACK] Seq=35844155 Ack=1 Win=65280 Len=65160 TSval=2972606950 TSecr=1160811822"
"15.155473855","34818","35909315","1","19  >  57254 [PSH, ACK] Seq=35909315 Ack=1 Win=65280 Len=34752 TSval=2972606950 TSecr=1160811822"
"15.156030016","30474","35944067","1","19  >  57254 [PSH, ACK] Seq=35944067 Ack=1 Win=65280 Len=30408 TSval=2972606951 TSecr=1160811823"
"15.156042560","55034","35974475","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=35974475 Ack=1 Win=65280 Len=54968 TSval=2972606951 TSecr=1160811823"
"15.156707611","10258","36029443","1","19  >  57254 [PSH, ACK] Seq=36029443 Ack=1 Win=65280 Len=10192 TSval=2972606952 TSecr=1160811824"
"15.156724594","29026","36039635","1","19  >  57254 [PSH, ACK] Seq=36039635 Ack=1 Win=65280 Len=28960 TSval=2972606952 TSecr=1160811824"
"15.157452072","17858","36068595","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=36068595 Ack=1 Win=65280 Len=17792 TSval=2972606952 TSecr=1160811825"
"15.223770785","18474","36086387","1","19  >  57254 [PSH, ACK] Seq=36086387 Ack=1 Win=65280 Len=18408 TSval=2972607019 TSecr=1160811891"
"15.223812335","65226","36104795","1","19  >  57254 [PSH, ACK] Seq=36104795 Ack=1 Win=65280 Len=65160 TSval=2972607019 TSecr=1160811891"
"15.223816273","65226","36169955","1","19  >  57254 [PSH, ACK] Seq=36169955 Ack=1 Win=65280 Len=65160 TSval=2972607019 TSecr=1160811891"
"15.223824469","27578","36235115","1","19  >  57254 [PSH, ACK] Seq=36235115 Ack=1 Win=65280 Len=27512 TSval=2972607019 TSecr=1160811891"
"15.225053835","37714","36262627","1","19  >  57254 [PSH, ACK] Seq=36262627 Ack=1 Win=65280 Len=37648 TSval=2972607020 TSecr=1160811892"
"15.225070587","47794","36300275","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=36300275 Ack=1 Win=65280 Len=47728 TSval=2972607020 TSecr=1160811892"
"15.225650641","17498","36348003","1","19  >  57254 [PSH, ACK] Seq=36348003 Ack=1 Win=65280 Len=17432 TSval=2972607020 TSecr=1160811893"
"15.225684546","21786","36365435","1","19  >  57254 [PSH, ACK] Seq=36365435 Ack=1 Win=65280 Len=21720 TSval=2972607020 TSecr=1160811893"
"15.226402425","17858","36387155","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=36387155 Ack=1 Win=65280 Len=17792 TSval=2972607021 TSecr=1160811894"
"15.271120210","25714","36404947","1","19  >  57254 [PSH, ACK] Seq=36404947 Ack=1 Win=65280 Len=25648 TSval=2972607066 TSecr=1160811938"
"15.271155478","65226","36430595","1","19  >  57254 [PSH, ACK] Seq=36430595 Ack=1 Win=65280 Len=65160 TSval=2972607066 TSecr=1160811938"
"15.271167290","56538","36495755","1","19  >  57254 [PSH, ACK] Seq=36495755 Ack=1 Win=65280 Len=56472 TSval=2972607066 TSecr=1160811938"
"15.272516381","8754","36552227","1","19  >  57254 [PSH, ACK] Seq=36552227 Ack=1 Win=65280 Len=8688 TSval=2972607067 TSecr=1160811940"
"15.272561968","62418","36560915","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=36560915 Ack=1 Win=65280 Len=62352 TSval=2972607067 TSecr=1160811940"
"15.272986494","2874","36623267","1","19  >  57254 [PSH, ACK] Seq=36623267 Ack=1 Win=65280 Len=2808 TSval=2972607068 TSecr=1160811940"
"15.273006202","29026","36626075","1","19  >  57254 [PSH, ACK] Seq=36626075 Ack=1 Win=65280 Len=28960 TSval=2972607068 TSecr=1160811940"
"15.318700676","36266","36655035","1","19  >  57254 [PSH, ACK] Seq=36655035 Ack=1 Win=65280 Len=36200 TSval=2972607113 TSecr=1160811986"
"15.318730884","65226","36691235","1","19  >  57254 [PSH, ACK] Seq=36691235 Ack=1 Win=65280 Len=65160 TSval=2972607113 TSecr=1160811986"
"15.318736976","52434","36756395","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=36756395 Ack=1 Win=65280 Len=52368 TSval=2972607113 TSecr=1160811986"
"15.319900024","12858","36808763","1","19  >  57254 [PSH, ACK] Seq=36808763 Ack=1 Win=65280 Len=12792 TSval=2972607115 TSecr=1160811987"
"15.319921826","62330","36821555","1","19  >  57254 [PSH, ACK] Seq=36821555 Ack=1 Win=65280 Len=62264 TSval=2972607115 TSecr=1160811987"
"15.320479306","2962","36883819","1","19  >  57254 [PSH, ACK] Seq=36883819 Ack=1 Win=65280 Len=2896 TSval=2972607115 TSecr=1160811988"
"15.320498674","31346","36886715","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=36886715 Ack=1 Win=65280 Len=31280 TSval=2972607115 TSecr=1160811988"
"15.365584818","33946","36917995","1","19  >  57254 [PSH, ACK] Seq=36917995 Ack=1 Win=65280 Len=33880 TSval=2972607160 TSecr=1160812033"
"15.365611690","65226","36951875","1","19  >  57254 [PSH, ACK] Seq=36951875 Ack=1 Win=65280 Len=65160 TSval=2972607160 TSecr=1160812033"
"15.365622440","53642","37017035","1","19  >  57254 [PSH, ACK] Seq=37017035 Ack=1 Win=65280 Len=53576 TSval=2972607160 TSecr=1160812033"
"15.366685864","11650","37070611","1","19  >  57254 [PSH, ACK] Seq=37070611 Ack=1 Win=65280 Len=11584 TSval=2972607161 TSecr=1160812034"
"15.366706905","61570","37082195","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=37082195 Ack=1 Win=65280 Len=61504 TSval=2972607161 TSecr=1160812034"
"15.367330443","3722","37143699","1","19  >  57254 [PSH, ACK] Seq=37143699 Ack=1 Win=65280 Len=3656 TSval=2972607162 TSecr=1160812035"
"15.367342726","30474","37147355","1","19  >  57254 [PSH, ACK] Seq=37147355 Ack=1 Win=65280 Len=30408 TSval=2972607162 TSecr=1160812035"
"15.437049201","34818","37177763","1","19  >  57254 [PSH, ACK] Seq=37177763 Ack=1 Win=65280 Len=34752 TSval=2972607232 TSecr=1160812104"
"15.437073778","65226","37212515","1","19  >  57254 [PSH, ACK] Seq=37212515 Ack=1 Win=65280 Len=65160 TSval=2972607232 TSecr=1160812104"
"15.437076514","65226","37277675","1","19  >  57254 [PSH, ACK] Seq=37277675 Ack=1 Win=65280 Len=65160 TSval=2972607232 TSecr=1160812104"
"15.437084509","21490","37342835","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=37342835 Ack=1 Win=65280 Len=21424 TSval=2972607232 TSecr=1160812104"
"15.437666269","43802","37364259","1","19  >  57254 [PSH, ACK] Seq=37364259 Ack=1 Win=65280 Len=43736 TSval=2972607232 TSecr=1160812105"
"15.437674766","44954","37407995","1","19  >  57254 [PSH, ACK] Seq=37407995 Ack=1 Win=65280 Len=44888 TSval=2972607232 TSecr=1160812105"
"15.438271906","20338","37452883","1","19  >  57254 [PSH, ACK] Seq=37452883 Ack=1 Win=65280 Len=20272 TSval=2972607233 TSecr=1160812106"
"15.438280272","24210","37473155","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=37473155 Ack=1 Win=65280 Len=24144 TSval=2972607233 TSecr=1160812106"
"15.438902741","21954","37497299","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=37497299 Ack=1 Win=65280 Len=21888 TSval=2972607234 TSecr=1160812106"
"15.554229830","19194","37519187","1","19  >  57254 [PSH, ACK] Seq=37519187 Ack=1 Win=65280 Len=19128 TSval=2972607349 TSecr=1160812221"
"15.554258445","65226","37538315","1","19  >  57254 [PSH, ACK] Seq=37538315 Ack=1 Win=65280 Len=65160 TSval=2972607349 TSecr=1160812221"
"15.554265198","62330","37603475","1","19  >  57254 [PSH, ACK] Seq=37603475 Ack=1 Win=65280 Len=62264 TSval=2972607349 TSecr=1160812221"
"15.554714781","2962","37665739","1","19  >  57254 [PSH, ACK] Seq=37665739 Ack=1 Win=65280 Len=2896 TSval=2972607350 TSecr=1160812222"
"15.554724360","65226","37668635","1","19  >  57254 [PSH, ACK] Seq=37668635 Ack=1 Win=65280 Len=65160 TSval=2972607350 TSecr=1160812222"
"15.554727526","3050","37733795","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=37733795 Ack=1 Win=65280 Len=2984 TSval=2972607350 TSecr=1160812222"
"15.555222030","34242","37736779","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=37736779 Ack=1 Win=65280 Len=34176 TSval=2972607350 TSecr=1160812223"
"15.641019712","28066","37770955","1","19  >  57254 [PSH, ACK] Seq=37770955 Ack=1 Win=65280 Len=28000 TSval=2972607436 TSecr=1160812308"
"15.641044811","65226","37798955","1","19  >  57254 [PSH, ACK] Seq=37798955 Ack=1 Win=65280 Len=65160 TSval=2972607436 TSecr=1160812308"
"15.641050101","57986","37864115","1","19  >  57254 [PSH, ACK] Seq=37864115 Ack=1 Win=65280 Len=57920 TSval=2972607436 TSecr=1160812308"
"15.641677008","7306","37922035","1","19  >  57254 [PSH, ACK] Seq=37922035 Ack=1 Win=65280 Len=7240 TSval=2972607436 TSecr=1160812309"
"15.641694071","65226","37929275","1","19  >  57254 [PSH, ACK] Seq=37929275 Ack=1 Win=65280 Len=65160 TSval=2972607436 TSecr=1160812309"
"15.642395492","36290","37994435","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=37994435 Ack=1 Win=65280 Len=36224 TSval=2972607437 TSecr=1160812310"
